2024-11-29T13:20:57.697Z - {"temperature":25.2,"humidty":71}
2024-11-29T13:21:27.784Z - {"temperature":25.3,"humidty":70}
2024-11-29T13:21:57.868Z - {"temperature":25.4,"humidty":70}
2024-11-29T13:22:27.954Z - {"temperature":25.4,"humidty":70}
2024-11-29T13:22:58.037Z - {"temperature":25.5,"humidty":70}
2024-11-29T13:23:28.122Z - {"temperature":25.5,"humidty":69}
2024-11-29T13:23:58.211Z - {"temperature":25.6,"humidty":70}
2024-11-29T13:24:28.296Z - {"temperature":25.6,"humidty":69}
2024-11-29T13:24:58.484Z - {"temperature":25.6,"humidty":69}
2024-11-29T13:25:28.463Z - {"temperature":25.6,"humidty":69}
2024-11-29T13:25:58.549Z - {"temperature":25.6,"humidty":69}
2024-11-29T13:26:28.633Z - {"temperature":25.6,"humidty":70}
2024-11-29T13:26:58.718Z - {"temperature":25.8,"humidty":69}
2024-11-29T13:27:28.831Z - {"temperature":25.9,"humidty":69}
2024-11-29T13:27:58.922Z - {"temperature":26,"humidty":69}
2024-11-29T13:28:28.975Z - {"temperature":26.1,"humidty":70}
2024-11-29T13:28:59.356Z - {"temperature":26.2,"humidty":69}
2024-11-29T13:29:29.146Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:29:59.229Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:30:29.315Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:30:59.401Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:31:29.484Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:31:59.572Z - {"temperature":26.2,"humidty":68}
2024-11-29T13:32:29.658Z - {"temperature":26.1,"humidty":69}
2024-11-29T13:32:59.825Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:33:29.827Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:33:59.908Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:34:29.996Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:35:00.079Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:35:30.551Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:36:00.251Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:36:30.334Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:37:00.420Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:37:30.505Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:38:00.594Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:38:31.132Z - {"temperature":26.1,"humidty":69}
2024-11-29T13:39:00.762Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:39:30.857Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:40:00.933Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:40:31.018Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:41:01.104Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:41:31.188Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:42:01.333Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:42:31.358Z - {"temperature":26.2,"humidty":69}
2024-11-29T13:43:04.946Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:43:31.528Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:44:01.613Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:44:31.699Z - {"temperature":26.3,"humidty":68}
2024-11-29T13:45:01.784Z - {"temperature":26.2,"humidty":68}
2024-11-29T13:45:31.870Z - {"temperature":26.1,"humidty":69}
2024-11-29T13:46:01.957Z - {"temperature":26.1,"humidty":69}
2024-11-29T13:46:32.037Z - {"temperature":26.1,"humidty":69}
2024-11-29T13:47:02.121Z - {"temperature":26,"humidty":69}
2024-11-29T13:47:32.208Z - {"temperature":25.8,"humidty":69}
2024-11-29T13:48:02.297Z - {"temperature":25.7,"humidty":69}
2024-11-29T13:48:32.446Z - {"temperature":25.7,"humidty":69}
2024-11-29T13:49:02.466Z - {"temperature":25.9,"humidty":68}
2024-11-29T13:49:32.557Z - {"temperature":26,"humidty":69}
2024-11-29T13:50:02.633Z - {"temperature":26,"humidty":68}
2024-11-29T13:50:32.721Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:51:03.783Z - LED is ON
2024-11-29T13:51:03.820Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:51:33.896Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:52:03.978Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:52:34.063Z - {"temperature":26,"humidty":68}
2024-11-29T13:53:04.150Z - {"temperature":26,"humidty":68}
2024-11-29T13:53:34.234Z - {"temperature":26,"humidty":68}
2024-11-29T13:54:04.316Z - {"temperature":26,"humidty":68}
2024-11-29T13:54:34.403Z - {"temperature":25.9,"humidty":68}
2024-11-29T13:55:04.526Z - {"temperature":25.9,"humidty":68}
2024-11-29T13:55:34.581Z - {"temperature":25.9,"humidty":67}
2024-11-29T13:56:04.663Z - {"temperature":25.9,"humidty":68}
2024-11-29T13:56:34.745Z - {"temperature":26,"humidty":68}
2024-11-29T13:57:04.836Z - {"temperature":26,"humidty":68}
2024-11-29T13:57:15.985Z - {"temperature":26,"humidty":68}
2024-11-29T13:57:25.534Z - {"temperature":26,"humidty":68}
